Date,Home Team,Score,Away Team
17-08-2024,Arsenal,2 - 0,Wolves
24-08-2024,Aston Villa,0 - 2,Arsenal
31-08-2024,Arsenal,1 - 1,Brighton
15-09-2024,Tottenham,0 - 1,Arsenal
22-09-2024,Man City,2 - 2,Arsenal
28-09-2024,Arsenal,4 - 2,Leicester
05-10-2024,Arsenal,3 - 1,Southampton
19-10-2024,Bournemouth,2 - 0,Arsenal
27-10-2024,Arsenal,2 - 2,Liverpool
02-11-2024,Newcastle,1 - 0,Arsenal
10-11-2024,Chelsea,1 - 1,Arsenal
23-11-2024,Arsenal,3 - 0,Nott'm Forest
30-11-2024,West Ham,2 - 5,Arsenal
04-12-2024,Arsenal,2 - 0,Man United
08-12-2024,Fulham,1 - 1,Arsenal
14-12-2024,Arsenal,0 - 0,Everton
21-12-2024,Crystal Palace,1 - 5,Arsenal
17-08-2024,West Ham,1 - 2,Aston Villa
24-08-2024,Aston Villa,0 - 2,Arsenal
31-08-2024,Leicester,1 - 2,Aston Villa
14-09-2024,Aston Villa,3 - 2,Everton
21-09-2024,Aston Villa,3 - 1,Wolves
29-09-2024,Ipswich,2 - 2,Aston Villa
06-10-2024,Aston Villa,0 - 0,Man United
19-10-2024,Fulham,1 - 3,Aston Villa
26-10-2024,Aston Villa,1 - 1,Bournemouth
03-11-2024,Tottenham,4 - 1,Aston Villa
09-11-2024,Liverpool,2 - 0,Aston Villa
23-11-2024,Aston Villa,2 - 2,Crystal Palace
01-12-2024,Chelsea,3 - 0,Aston Villa
04-12-2024,Aston Villa,3 - 1,Brentford
07-12-2024,Aston Villa,1 - 0,Southampton
14-12-2024,Nott'm Forest,2 - 1,Aston Villa
21-12-2024,Aston Villa,2 - 1,Man City
17-08-2024,Nott'm Forest,1 - 1,Bournemouth
25-08-2024,Bournemouth,1 - 1,Newcastle
31-08-2024,Everton,2 - 3,Bournemouth
14-09-2024,Bournemouth,0 - 1,Chelsea
21-09-2024,Liverpool,3 - 0,Bournemouth
30-09-2024,Bournemouth,3 - 1,Southampton
05-10-2024,Leicester,1 - 0,Bournemouth
19-10-2024,Bournemouth,2 - 0,Arsenal
26-10-2024,Aston Villa,1 - 1,Bournemouth
02-11-2024,Bournemouth,2 - 1,Man City
09-11-2024,Brentford,3 - 2,Bournemouth
23-11-2024,Bournemouth,1 - 2,Brighton
30-11-2024,Wolves,2 - 4,Bournemouth
05-12-2024,Bournemouth,1 - 0,Tottenham
08-12-2024,Ipswich,1 - 2,Bournemouth
16-12-2024,Bournemouth,1 - 1,West Ham
22-12-2024,Man United,0 - 3,Bournemouth
18-08-2024,Brentford,2 - 1,Crystal Palace
25-08-2024,Liverpool,2 - 0,Brentford
31-08-2024,Brentford,3 - 1,Southampton
14-09-2024,Man City,2 - 1,Brentford
21-09-2024,Tottenham,3 - 1,Brentford
28-09-2024,Brentford,1 - 1,West Ham
05-10-2024,Brentford,5 - 3,Wolves
19-10-2024,Man United,2 - 1,Brentford
26-10-2024,Brentford,4 - 3,Ipswich
04-11-2024,Fulham,2 - 1,Brentford
09-11-2024,Brentford,3 - 2,Bournemouth
23-11-2024,Everton,0 - 0,Brentford
30-11-2024,Brentford,4 - 1,Leicester
